time,cwnd,rtt,rto
0.0023560523986816406,46,0.00013524293899536133,0.0010819435119628906
0.0032629966735839844,92,0.00036060065031051636,0.0019381046295166016
0.003660440444946289,93,0.0006048167124390602,0.002314329147338867
0.004034280776977539,94,0.0008622853783890605,0.0026645660400390625
0.004365682601928711,95,0.0011258664453634992,0.0029709339141845703
0.004679679870605469,96,0.001392709700667183,0.0032606124877929688
0.004969596862792969,97,0.001659367533875411,0.003525972366333008
0.005258083343505859,98,0.0019256545064934016,0.003789663314819336
0.005528926849365234,99,0.0021884877322442264,0.0040283203125
0.005801200866699219,100,0.0024495208247041766,0.004276752471923828
0.0060749053955078125,101,0.0027090682075017747,0.004525899887084961
0.006331205368041992,102,0.0029648718039090236,0.004755496978759766
0.0065915584564208984,103,0.0032183234592187355,0.004992485046386719
0.006819486618041992,104,0.0034656044455786007,0.005196571350097656
0.007108211517333984,105,0.0037150558864938246,0.005461215972900391
0.007380962371826172,106,0.003964469324189787,0.0057103633880615234
0.0076525211334228516,107,0.00421378990442412,0.005959033966064453
0.007892608642578125,108,0.0044590059208571885,0.006175518035888672
0.008126020431518555,109,0.004699557560358194,0.006383419036865234
0.008342981338500977,110,0.00493426953302277,0.006577253341674805
0.008577108383178711,111,0.005163812192560695,0.006770610809326172
0.008786201477050781,112,0.005389993993685921,0.0069732666015625
0.008985757827758789,113,0.005609509753401572,0.007146120071411133
0.009178400039672852,114,0.005822745692048031,0.007315397262573242
0.009366750717163086,115,0.006029831136166416,0.007479429244995117
0.009542226791381836,116,0.006229895769841415,0.007630348205566406
0.009754657745361328,117,0.00642873457757242,0.007820606231689453
0.009981155395507812,118,0.006627990903721815,0.008022785186767578
0.010206222534179688,119,0.0068274635468753625,0.008223772048950195
0.010426044464111328,120,0.007026559223282177,0.008420228958129883
0.01060938835144043,121,0.007220586484525958,0.008578777313232422
0.010808706283569336,122,0.007412086231134896,0.008752584457397461
0.011022090911865234,123,0.0076035499719726484,0.008943796157836914
0.011305809020996094,124,0.007803386462673943,0.009202241897583008
0.011554241180419922,125,0.008006406586693948,0.009427547454833984
0.011778831481933594,126,0.008209381169240993,0.009630203247070312
0.01197052001953125,127,0.008407756147673882,0.009796380996704102
0.012140989303588867,128,0.008599513670459153,0.009941816329956055
0.012371540069580078,129,0.008793229523373561,0.010149240493774414
0.012584924697875977,130,0.008986393938649497,0.010338544845581055
0.012762784957885742,131,0.009175112137114208,0.010496139526367188
0.012998342514038086,132,0.00936804612755855,0.010718584060668945
0.013219118118286133,133,0.009562552971095543,0.010924100875854492
0.013417959213256836,134,0.00975605187529759,0.011110544204711914
0.013635873794555664,135,0.009951082820694962,0.011316299438476562
0.013858795166015625,136,0.010148318569487487,0.011528968811035156
0.014054059982299805,137,0.01030221379354386,0.011379480361938477
0.014257669448852539,138,0.010459432472640673,0.01155996322631836
0.014448165893554688,139,0.010619320756318768,0.01173853874206543
0.014619588851928711,140,0.010778922339635367,0.011896133422851562
0.014823436737060547,141,0.010942564594559485,0.01208806037902832
0.015021085739135742,142,0.01110875896050139,0.012272119522094727
0.015187501907348633,143,0.011273580342574946,0.012427330017089844
0.015428543090820312,144,0.011446379479059108,0.012655973434448242
0.01564812660217285,145,0.011623655755571984,0.01286458969116211
0.015848398208618164,146,0.011802375936851805,0.013053417205810547
0.016068458557128906,147,0.011984803325238493,0.013261795043945312
0.016304969787597656,148,0.01217267989170038,0.013487815856933594
0.0164945125579834,149,0.012359542838434854,0.013667583465576172
0.016694307327270508,150,0.012546144716677983,0.013852357864379883
0.01688408851623535,151,0.012731951915865819,0.014032602310180664
0.017058134078979492,152,0.012914470968832543,0.01419210433959961
0.017266273498535156,153,0.013098851463115438,0.014389514923095703
0.01746535301208496,154,0.013283698427976862,0.014577627182006836
0.017632722854614258,155,0.0134650792526841,0.014734745025634766
0.017870426177978516,156,0.013651920866636918,0.01495981216430664
0.018088817596435547,157,0.013841394903967704,0.015167713165283203
0.018321752548217773,158,0.014034543218584047,0.015386581420898438
0.01862192153930664,159,0.014239906827186333,0.015677452087402344
0.018847942352294922,160,0.014446541284151812,0.015892982482910156
0.019057750701904297,161,0.014652261175512719,0.016092300415039062
0.019277334213256836,162,0.014858253705575582,0.016300201416015625
0.019465208053588867,163,0.015060342271690768,0.01647496223449707
0.019635677337646484,164,0.015256958509106985,0.016633272171020508
0.019840002059936523,165,0.015453227004947372,0.016827106475830078
0.020036697387695312,166,0.015648177947947726,0.017012834548950195
0.02021026611328125,167,0.015839085206941442,0.01717543601989746
0.04517245292663574,168,0.014173494847974397,0.025832627360743717
0.04578518867492676,169,0.012778807370181944,0.022541619714729122
0.04637408256530762,170,0.01163883269059316,0.019618655447714642
0.046840667724609375,171,0.01069794945616721,0.017284132097148873
0.047267913818359375,172,0.009924923341590156,0.01533610614362953
0.047582387924194336,173,0.009286016812898954,0.013758362513737361
0.047863006591796875,174,0.00875960714330868,0.012444474830440602
0.04813075065612793,175,0.008329426853575028,0.011340688881710602
0.048424720764160156,176,0.007987649398672582,0.010380091582989696
0.04869794845581055,177,0.007720244192008676,0.009592080638656023
0.048967838287353516,178,0.0075175570746848375,0.008936366895951706
0.04925847053527832,179,0.007373971878291738,0.008379068253043437
0.049517154693603516,180,0.007278107351513083,0.007949159038963666
0.04979705810546875,181,0.007226680619661961,0.00758666774261982
0.050064802169799805,182,0.007212706446897819,0.00731052565624681
0.05033707618713379,183,0.00723198010049299,0.00736689567565918
0.05063652992248535,184,0.007283743066904755,0.007646083831787109
0.05089163780212402,185,0.00735851015935648,0.007881879806518555
